File,Mode,Questions found,Returned five,Validation passed,Missing labels,Empty values,Placeholder echoes,Faults,Invalid source basis,Generated notes basis,Shape warnings,Warnings
20260818_010850_368041_transcript_only.txt,Transcript only,5,True,False,5,0,0,question 1 missing 'Question type:'; question 2 missing 'Question type:'; question 3 missing 'Question type:'; question 4 missing 'Question type:'; question 5 missing 'Question type:',0,0,0,
20260818_010856_619113_slide_text_only.txt,Slide text only,5,True,False,10,0,0,"question 1 missing 'Question type:', 'Source basis:'; question 2 missing 'Question type:', 'Source basis:'; question 3 missing 'Question type:', 'Source basis:'; question 4 missing 'Question type:', 'Source basis:'; question 5 missing 'Question type:', 'Source basis:'",0,0,0,
20260818_010900_763470_combined_transcript_and_slide_text.txt,Combined transcript and slide text,7,False,False,9,0,4,"expected 5 questions, found 7; question 1 repeats the prompt placeholder for 'Question:'; question 2 missing 'Suggested answer:', 'Question type:', 'Source basis:'; question 3 repeats the prompt placeholder for 'Question:'; question 4 missing 'Suggested answer:', 'Question type:', 'Source basis:'; question 5 repeats the prompt placeholder for 'Question:'; question 5 attributes its source basis to the generated revision notes ('revision notes'), not to a supplied input; question 6 missing 'Suggested answer:', 'Question type:', 'Source basis:'; question 7 repeats the prompt placeholder for 'Question:'",0,1,0,
20260818_010906_297115_transcript_slide_text_and_notes.txt,"Transcript, slide text and notes",4,False,False,0,0,0,"expected 5 questions, found 4; question 4 attributes its source basis to the generated revision notes ('Revision notes'), not to a supplied input",0,1,1,question 1 does not read as a question
20260818_010911_103576_transcript_only.txt,Transcript only,5,True,False,5,0,0,question 1 missing 'Question type:'; question 2 missing 'Question type:'; question 3 missing 'Question type:'; question 4 missing 'Question type:'; question 5 missing 'Question type:',0,0,0,
20260818_010915_690521_slide_text_only.txt,Slide text only,3,False,False,0,0,0,"expected 5 questions, found 3; question 3 attributes its source basis to the generated revision notes ('revision notes'), not to a supplied input",0,1,0,
20260818_010919_920132_combined_transcript_and_slide_text.txt,Combined transcript and slide text,7,False,False,9,0,4,"expected 5 questions, found 7; question 1 repeats the prompt placeholder for 'Question:'; question 2 missing 'Suggested answer:', 'Question type:', 'Source basis:'; question 3 repeats the prompt placeholder for 'Question:'; question 4 missing 'Suggested answer:', 'Question type:', 'Source basis:'; question 5 repeats the prompt placeholder for 'Question:'; question 5 attributes its source basis to the generated revision notes ('revision notes'), not to a supplied input; question 6 missing 'Suggested answer:', 'Question type:', 'Source basis:'; question 7 repeats the prompt placeholder for 'Question:'",0,1,0,
20260818_010925_762302_transcript_slide_text_and_notes.txt,"Transcript, slide text and notes",4,False,False,0,0,0,"expected 5 questions, found 4; question 4 attributes its source basis to the generated revision notes ('Revision notes'), not to a supplied input",0,1,1,question 1 does not read as a question
20260818_010930_544590_transcript_only.txt,Transcript only,5,True,False,5,0,0,question 1 missing 'Question type:'; question 2 missing 'Question type:'; question 3 missing 'Question type:'; question 4 missing 'Question type:'; question 5 missing 'Question type:',0,0,0,
20260818_010935_697894_slide_text_only.txt,Slide text only,4,False,False,0,0,0,"expected 5 questions, found 4; question 3 attributes its source basis to the generated revision notes ('revision notes'), not to a supplied input; question 4 attributes its source basis to the generated revision notes ('revision notes'), not to a supplied input",0,2,0,
20260818_010939_889017_combined_transcript_and_slide_text.txt,Combined transcript and slide text,7,False,False,9,0,4,"expected 5 questions, found 7; question 1 repeats the prompt placeholder for 'Question:'; question 2 missing 'Suggested answer:', 'Question type:', 'Source basis:'; question 3 repeats the prompt placeholder for 'Question:'; question 4 missing 'Suggested answer:', 'Question type:', 'Source basis:'; question 5 repeats the prompt placeholder for 'Question:'; question 5 attributes its source basis to the generated revision notes ('revision notes'), not to a supplied input; question 6 missing 'Suggested answer:', 'Question type:', 'Source basis:'; question 7 repeats the prompt placeholder for 'Question:'",0,1,0,
20260818_010945_520647_transcript_slide_text_and_notes.txt,"Transcript, slide text and notes",4,False,False,0,0,0,"expected 5 questions, found 4; question 4 attributes its source basis to the generated revision notes ('Revision notes'), not to a supplied input",0,1,1,question 1 does not read as a question
