Model,Deck,Page,Quality (1 to 5),Notes,answered,done_reason,seconds,eval_tokens,think_chars,reply_words,reply_chars,output_file
qwen3-vl-ctx16k,01_AI_L8_control,5,,,yes,stop,29.81,1916,8106,139,948,outputs\vision_bakeoff\replies\qwen3-vl-ctx16k_01_AI_L8_control_p005.txt
qwen3-vl-ctx16k,01_AI_L8_control,13,,,no,length,35.60,3000,11586,0,0,
qwen3-vl-ctx16k,01_AI_L8_control,28,,,yes,stop,25.63,1823,6772,194,1316,outputs\vision_bakeoff\replies\qwen3-vl-ctx16k_01_AI_L8_control_p028.txt
qwen3-vl-ctx16k,04_GP_T7_extreme,4,,,no,length,40.77,3000,9823,0,0,
qwen3-vl-ctx16k,04_GP_T7_extreme,6,,,no,length,40.70,3000,10210,0,0,
qwen3-vl-ctx16k,02_AI_L6_mixed,6,,,no,length,42.49,3000,10820,0,0,
qwen3-vl-ctx16k,02_AI_L6_mixed,19,,,yes,length,42.30,3000,10205,164,1009,outputs\vision_bakeoff\replies\qwen3-vl-ctx16k_02_AI_L6_mixed_p019.txt
qwen3-vl-ctx16k,03_ISP_L10_image_heavy,2,,,yes,stop,12.66,600,2207,44,280,outputs\vision_bakeoff\replies\qwen3-vl-ctx16k_03_ISP_L10_image_heavy_p002.txt
qwen3-vl-ctx16k,03_ISP_L10_image_heavy,9,,,yes,stop,22.38,1392,4905,184,1290,outputs\vision_bakeoff\replies\qwen3-vl-ctx16k_03_ISP_L10_image_heavy_p009.txt
qwen2.5vl:3b,01_AI_L8_control,5,,,yes,stop,31.72,174,0,130,876,outputs\vision_bakeoff\replies\qwen2.5vl-3b_01_AI_L8_control_p005.txt
qwen2.5vl:3b,01_AI_L8_control,13,,,yes,stop,11.35,786,0,446,3011,outputs\vision_bakeoff\replies\qwen2.5vl-3b_01_AI_L8_control_p013.txt
qwen2.5vl:3b,01_AI_L8_control,28,,,yes,stop,7.40,266,0,192,1263,outputs\vision_bakeoff\replies\qwen2.5vl-3b_01_AI_L8_control_p028.txt
qwen2.5vl:3b,04_GP_T7_extreme,4,,,yes,stop,5.46,126,0,53,288,outputs\vision_bakeoff\replies\qwen2.5vl-3b_04_GP_T7_extreme_p004.txt
qwen2.5vl:3b,04_GP_T7_extreme,6,,,yes,stop,6.51,274,0,167,1079,outputs\vision_bakeoff\replies\qwen2.5vl-3b_04_GP_T7_extreme_p006.txt
qwen2.5vl:3b,02_AI_L6_mixed,6,,,yes,stop,5.87,47,0,26,142,outputs\vision_bakeoff\replies\qwen2.5vl-3b_02_AI_L6_mixed_p006.txt
qwen2.5vl:3b,02_AI_L6_mixed,19,,,yes,stop,11.70,852,0,440,3751,outputs\vision_bakeoff\replies\qwen2.5vl-3b_02_AI_L6_mixed_p019.txt
qwen2.5vl:3b,03_ISP_L10_image_heavy,2,,,yes,stop,5.53,15,0,8,55,outputs\vision_bakeoff\replies\qwen2.5vl-3b_03_ISP_L10_image_heavy_p002.txt
qwen2.5vl:3b,03_ISP_L10_image_heavy,9,,,yes,stop,5.95,69,0,42,331,outputs\vision_bakeoff\replies\qwen2.5vl-3b_03_ISP_L10_image_heavy_p009.txt
qwen2.5vl:7b,01_AI_L8_control,5,,,yes,stop,24.02,174,0,130,876,outputs\vision_bakeoff\replies\qwen2.5vl-7b_01_AI_L8_control_p005.txt
