mode,run,notes_seconds,quiz_seconds,total_seconds,model,temperature,seed,slide_source,questions_found,returned_five,attempts,validation_passed,output_file,accuracy,coverage,structure,quiz_relevance,answerability,usefulness,invalid_source_basis,generated_notes_basis,shape_warnings,quiz_seeds
Transcript only,1,8.42,3.34,11.76,llama3.2,0.7,,,1,False,3,False,outputs\bayes_sampled_x3\20260818_015945_123062_transcript_only.txt,,,,,,,0,0,0,
Slide text only,1,2.64,10.02,12.66,llama3.2,0.7,,,5,True,3,False,outputs\bayes_sampled_x3\20260818_015957_784379_slide_text_only.txt,,,,,,,0,0,0,
Combined transcript and slide text,1,3.10,5.42,8.52,llama3.2,0.7,,,1,False,3,False,outputs\bayes_sampled_x3\20260818_020006_309665_combined_transcript_and_slide_text.txt,,,,,,,0,0,0,
"Transcript, slide text and notes",1,2.34,6.79,9.13,llama3.2,0.7,,,1,False,3,False,outputs\bayes_sampled_x3\20260818_020015_442921_transcript_slide_text_and_notes.txt,,,,,,,0,0,0,
Transcript only,2,2.17,4.29,6.46,llama3.2,0.7,,,5,True,3,False,outputs\bayes_sampled_x3\20260818_020021_904138_transcript_only.txt,,,,,,,0,0,0,
Slide text only,2,2.62,7.62,10.23,llama3.2,0.7,,,5,True,3,False,outputs\bayes_sampled_x3\20260818_020032_138264_slide_text_only.txt,,,,,,,1,2,0,
Combined transcript and slide text,2,2.67,3.74,6.41,llama3.2,0.7,,,5,True,1,True,outputs\bayes_sampled_x3\20260818_020038_552202_combined_transcript_and_slide_text.txt,,,,,,,0,0,0,
"Transcript, slide text and notes",2,2.73,8.36,11.10,llama3.2,0.7,,,4,False,3,False,outputs\bayes_sampled_x3\20260818_020049_649969_transcript_slide_text_and_notes.txt,,,,,,,0,0,1,
Transcript only,3,2.22,5.39,7.61,llama3.2,0.7,,,5,True,3,False,outputs\bayes_sampled_x3\20260818_020057_262713_transcript_only.txt,,,,,,,0,4,0,
Slide text only,3,2.23,9.46,11.69,llama3.2,0.7,,,4,False,3,False,outputs\bayes_sampled_x3\20260818_020108_955938_slide_text_only.txt,,,,,,,0,2,0,
Combined transcript and slide text,3,3.02,9.13,12.15,llama3.2,0.7,,,5,True,3,True,outputs\bayes_sampled_x3\20260818_020121_109764_combined_transcript_and_slide_text.txt,,,,,,,0,0,0,
"Transcript, slide text and notes",3,0.74,10.97,11.70,llama3.2,0.7,,,4,False,3,False,outputs\bayes_sampled_x3\20260818_020132_814856_transcript_slide_text_and_notes.txt,,,,,,,0,0,0,
