mode,run,notes_seconds,quiz_seconds,total_seconds,model,temperature,seed,slide_source,questions_found,returned_five,attempts,validation_passed,output_file,accuracy,coverage,structure,quiz_relevance,answerability,usefulness,invalid_source_basis,generated_notes_basis,shape_warnings,quiz_seeds,quiz_structured
Transcript only,1,20.85,4.84,25.69,llama3.2-ctx16k,0.0,42,Vision model,5,True,1,True,outputs\bayes_v2\20260922_193745_739244_transcript_only.txt,,,,,,,0,0,0,42,True
Slide text only,1,3.29,4.21,7.50,llama3.2-ctx16k,0.0,42,Vision model,5,True,1,True,outputs\bayes_v2\20260922_193753_244904_slide_text_only.txt,,,,,,,0,0,0,42,True
Combined transcript and slide text,1,3.16,5.44,8.61,llama3.2-ctx16k,0.0,42,Vision model,5,True,1,True,outputs\bayes_v2\20260922_193801_853550_combined_transcript_and_slide_text.txt,,,,,,,0,0,0,42,True
"Transcript, slide text and notes",1,2.29,5.42,7.70,llama3.2-ctx16k,0.0,42,Vision model,5,True,1,True,outputs\bayes_v2\20260922_193809_561751_transcript_slide_text_and_notes.txt,,,,,,,0,0,0,42,True
Transcript only,2,1.66,5.59,7.24,llama3.2-ctx16k,0.0,42,Vision model,5,True,1,True,outputs\bayes_v2\20260922_193816_807493_transcript_only.txt,,,,,,,0,0,0,42,True
Slide text only,2,3.10,3.95,7.05,llama3.2-ctx16k,0.0,42,Vision model,5,True,1,True,outputs\bayes_v2\20260922_193823_862415_slide_text_only.txt,,,,,,,0,0,0,42,True
Combined transcript and slide text,2,3.14,5.05,8.20,llama3.2-ctx16k,0.0,42,Vision model,5,True,1,True,outputs\bayes_v2\20260922_193832_058325_combined_transcript_and_slide_text.txt,,,,,,,0,0,0,42,True
"Transcript, slide text and notes",2,2.30,4.64,6.94,llama3.2-ctx16k,0.0,42,Vision model,5,True,1,True,outputs\bayes_v2\20260922_193838_999338_transcript_slide_text_and_notes.txt,,,,,,,0,0,0,42,True
Transcript only,3,1.65,4.16,5.81,llama3.2-ctx16k,0.0,42,Vision model,5,True,1,True,outputs\bayes_v2\20260922_193844_809314_transcript_only.txt,,,,,,,0,0,0,42,True
Slide text only,3,3.12,3.92,7.03,llama3.2-ctx16k,0.0,42,Vision model,5,True,1,True,outputs\bayes_v2\20260922_193851_844505_slide_text_only.txt,,,,,,,0,0,0,42,True
Combined transcript and slide text,3,3.17,5.02,8.19,llama3.2-ctx16k,0.0,42,Vision model,5,True,1,True,outputs\bayes_v2\20260922_193900_036411_combined_transcript_and_slide_text.txt,,,,,,,0,0,0,42,True
"Transcript, slide text and notes",3,2.29,4.60,6.89,llama3.2-ctx16k,0.0,42,Vision model,5,True,1,True,outputs\bayes_v2\20260922_193906_928547_transcript_slide_text_and_notes.txt,,,,,,,0,0,0,42,True
