mode,run,notes_seconds,quiz_seconds,total_seconds,model,temperature,seed,slide_source,questions_found,returned_five,attempts,validation_passed,output_file,accuracy,coverage,structure,quiz_relevance,answerability,usefulness,invalid_source_basis,generated_notes_basis,shape_warnings,quiz_seeds
Transcript only,1,8.44,1.30,9.74,llama3.2,0.7,,,2,False,1,False,outputs\bayes_retry_sampled\20260818_015257_234176_transcript_only.txt,,,,,,,0,0,0,
Slide text only,1,3.10,3.51,6.61,llama3.2,0.7,,,4,False,1,False,outputs\bayes_retry_sampled\20260818_015303_844658_slide_text_only.txt,,,,,,,0,2,0,
Combined transcript and slide text,1,2.75,1.33,4.08,llama3.2,0.7,,,3,False,1,False,outputs\bayes_retry_sampled\20260818_015307_923675_combined_transcript_and_slide_text.txt,,,,,,,0,0,0,
"Transcript, slide text and notes",1,2.19,2.50,4.70,llama3.2,0.7,,,5,True,1,False,outputs\bayes_retry_sampled\20260818_015312_621963_transcript_slide_text_and_notes.txt,,,,,,,0,0,0,
Transcript only,2,1.92,1.25,3.16,llama3.2,0.7,,,1,False,1,False,outputs\bayes_retry_sampled\20260818_015315_786745_transcript_only.txt,,,,,,,0,0,0,
Slide text only,2,2.47,2.73,5.20,llama3.2,0.7,,,5,True,1,False,outputs\bayes_retry_sampled\20260818_015320_984049_slide_text_only.txt,,,,,,,0,0,0,
Combined transcript and slide text,2,2.54,2.07,4.61,llama3.2,0.7,,,7,False,1,False,outputs\bayes_retry_sampled\20260818_015325_594777_combined_transcript_and_slide_text.txt,,,,,,,0,1,0,
"Transcript, slide text and notes",2,2.75,3.54,6.29,llama3.2,0.7,,,5,True,1,True,outputs\bayes_retry_sampled\20260818_015331_884337_transcript_slide_text_and_notes.txt,,,,,,,0,0,0,
Transcript only,3,2.15,0.79,2.93,llama3.2,0.7,,,1,False,1,False,outputs\bayes_retry_sampled\20260818_015334_821507_transcript_only.txt,,,,,,,0,0,0,
Slide text only,3,2.25,2.61,4.86,llama3.2,0.7,,,5,True,1,False,outputs\bayes_retry_sampled\20260818_015339_685584_slide_text_only.txt,,,,,,,0,1,0,
Combined transcript and slide text,3,2.54,2.90,5.44,llama3.2,0.7,,,5,True,1,False,outputs\bayes_retry_sampled\20260818_015345_126450_combined_transcript_and_slide_text.txt,,,,,,,0,1,0,
"Transcript, slide text and notes",3,2.37,2.42,4.79,llama3.2,0.7,,,5,True,1,True,outputs\bayes_retry_sampled\20260818_015349_922266_transcript_slide_text_and_notes.txt,,,,,,,0,0,1,
